Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,"t01",Periodic,8,0.000000,0.300000,0.300000,50.000000,,,50.000000,HARD,,
2,"t02",Periodic,19,0.000000,0.500000,0.500000,10.000000,,,10.000000,HARD,,
3,"t03",Periodic,3,0.000000,2.000000,2.000000,380.000000,,,380.000000,HARD,,
4,"t04",Periodic,13,0.000000,0.100000,0.100000,30.000000,,,30.000000,HARD,,
5,"t05",Periodic,2,0.000000,11.000000,11.000000,530.000000,,,530.000000,HARD,,
6,"t06",Aperiodic,18,0.000000,0.300000,0.300000,10.000000,10.000000,20.000000,10.000000,HARD,,
7,"t07",Aperiodic,7,0.000000,5.600000,5.600000,130.000000,130.000000,130.000000,130.000000,HARD,,
8,"t08",Periodic,12,0.000000,3.300000,3.300000,30.000000,,,30.000000,HARD,,
9,"t09",Periodic,1,0.000000,14.800000,14.800000,600.000000,,,600.000000,HARD,,
10,"t10",Periodic,10,0.000000,1.500000,1.500000,40.000000,,,40.000000,HARD,,
11,"t11",Periodic,17,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,
12,"t12",Periodic,11,0.000000,0.600000,0.600000,30.000000,,,30.000000,HARD,,
13,"t13",Periodic,5,0.000000,28.400000,28.400000,350.000000,,,350.000000,HARD,,
14,"t14",Periodic,0,0.000000,3.600000,3.600000,990.000000,,,990.000000,HARD,,
15,"t15",Periodic,16,0.000000,1.000000,1.000000,10.000000,,,10.000000,HARD,,
16,"t16",Periodic,15,0.000000,1.100000,1.100000,20.000000,,,20.000000,HARD,,
17,"t17",Periodic,9,0.000000,0.700000,0.700000,40.000000,,,40.000000,HARD,,
18,"t18",Periodic,6,0.000000,9.200000,9.200000,240.000000,,,240.000000,HARD,,
19,"t19",Periodic,14,0.000000,0.200000,0.200000,20.000000,,,20.000000,HARD,,
20,"t20",Aperiodic,4,0.000000,6.700000,6.700000,370.000000,370.000000,440.000000,370.000000,HARD,,
