TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,OPAM,CCS,1,0.087623,0.087393,0.812537,1.003460,0.027027,0.222222,0.155417,0.613333,0.222222
1,OPAM,CCS,2,0.087938,0.087938,0.818959,1.104728,0.032787,0.333333,0.078726,0.773333,0.333333
1,OPAM,CCS,3,0.071977,0.071933,0.744542,0.737864,0.027027,0.222222,0.130638,0.640000,0.222222
1,OPAM,CCS,4,0.080271,0.080269,0.847039,0.410681,0.006579,0.111111,0.096102,0.533333,0.111111
1,OPAM,CCS,5,0.088646,0.088539,0.817332,0.713916,0.020000,0.222222,0.106735,0.653333,0.222222
1,OPAM,CCS,6,0.097309,0.097309,0.797778,0.458229,0.034483,0.222222,0.099824,0.640000,0.222222
1,OPAM,CCS,7,0.088950,0.088671,0.777400,0.855946,0.013889,0.111111,0.086605,0.533333,0.111111
1,OPAM,CCS,8,0.095603,0.095603,0.710561,1.114945,0.000000,0.000000,0.108664,0.000000,0.000000
1,OPAM,CCS,9,0.100074,0.100074,0.715893,0.997496,0.000000,0.000000,0.193482,0.000000,0.000000
1,OPAM,CCS,10,0.042736,0.042224,0.803658,0.348846,0.019231,0.111111,0.091612,0.640000,0.111111
1,OPAM,CCS,11,0.036269,0.034819,0.857023,0.948691,0.000000,0.000000,0.093484,0.000000,0.000000
1,OPAM,CCS,12,0.091412,0.091333,0.762790,0.383680,0.006579,0.111111,0.104411,0.533333,0.111111
1,OPAM,CCS,13,0.089112,0.089035,0.779950,0.842147,0.006579,0.111111,0.107778,0.533333,0.111111
1,OPAM,CCS,14,0.089188,0.088971,0.779158,0.999549,0.006579,0.111111,0.056486,0.533333,0.111111
1,OPAM,CCS,15,0.088113,0.087894,0.811507,1.016299,0.000000,0.000000,0.070992,0.000000,0.000000
1,OPAM,CCS,16,0.082589,0.082511,0.795535,0.588991,0.039474,0.111111,0.128678,0.533333,0.111111
1,OPAM,CCS,17,0.077887,0.077795,0.803187,0.507545,0.006579,0.111111,0.106739,0.013333,0.111111
1,OPAM,CCS,18,0.091546,0.091540,0.677604,0.735661,0.012987,0.111111,0.077684,0.640000,0.111111
1,OPAM,CCS,19,0.088207,0.088062,0.796564,0.686803,0.006579,0.111111,0.078289,0.533333,0.111111
1,OPAM,CCS,20,0.093115,0.093115,0.799020,0.489813,0.034483,0.222222,0.122438,0.640000,0.222222
1,OPAM,CCS,21,0.087542,0.087461,0.770130,0.549447,0.015152,0.222222,0.080271,0.146667,0.222222
1,OPAM,CCS,22,0.070210,0.069670,0.811150,0.511934,0.012987,0.111111,0.124315,0.586667,0.111111
1,OPAM,CCS,23,0.061195,0.061195,0.790745,0.290779,0.027027,0.111111,0.216830,0.533333,0.111111
1,OPAM,CCS,24,0.088951,0.088951,0.804311,0.948831,0.000000,0.000000,0.143888,0.000000,0.000000
